ref_idx,matched,pred_idx,best_iou,match_iou,boundary_dist_m,merge_flag,split_flag,oversize_flag,any_overlap
0,False,,0.0,,,False,False,False,False
1,False,,0.0,,,False,False,False,False
2,False,,0.0,,,False,False,False,False
3,True,52.0,0.9276075777362648,0.9276075777362648,0.4845682888692384,False,False,False,True
4,True,53.0,0.9182527477162485,0.9182527477162485,0.32724682420628415,False,False,False,True
5,False,,0.0,,,False,False,False,False
6,False,,0.0,,,False,False,False,False
7,False,,0.0,,,False,False,False,False
8,False,,0.0,,,False,False,False,False
9,False,,0.20570533710904454,,,True,False,True,True
10,False,,0.3712070452811248,,,True,False,True,True
11,False,,0.3604259071665609,,,True,False,True,True
12,True,40.0,0.90142768159626,0.90142768159626,0.5212964453043836,False,False,False,True
13,False,,0.0,,,False,False,False,False
14,False,,0.0,,,False,False,False,False
15,False,,0.0,,,False,False,False,False
16,False,,0.0,,,False,False,False,False
17,False,,0.0,,,False,False,False,False
18,False,,0.2847456041653288,,,True,False,True,True
19,False,,0.17792649366436455,,,True,False,True,True
20,True,10.0,0.9276017640120069,0.9276017640120069,0.5659141912163292,False,False,False,True
21,True,19.0,0.9040758383418338,0.9040758383418338,0.5442859148629096,False,False,False,True
22,False,,0.2595607625428919,,,True,False,True,True
23,True,1.0,0.6782404228829098,0.6782404228829098,3.3921336391031964,True,False,False,True
24,False,,0.0,,,False,False,False,False
25,False,,0.0,,,False,False,False,False
26,True,7.0,0.8226621147809893,0.8226621147809893,0.5535792227606384,False,False,False,True
27,True,9.0,0.5215449877364947,0.5215449877364947,3.016790541706032,True,False,False,True
28,False,,0.25554917786073655,,,True,False,True,True
29,True,14.0,0.8918469085844024,0.8918469085844024,0.40317792962067167,False,False,False,True
30,True,16.0,0.7993005102821438,0.7993005102821438,0.634338824114807,False,False,False,True
31,True,17.0,0.915960743367488,0.915960743367488,0.42894079529083406,False,False,False,True
32,True,21.0,0.932010212348962,0.932010212348962,0.2941480246229706,False,False,False,True
33,True,22.0,0.8558324407915091,0.8558324407915091,0.5481473872927491,False,False,False,True
34,True,24.0,0.8645014070043919,0.8645014070043919,0.5901666588373586,False,False,False,True
35,True,25.0,0.8538921447831954,0.8538921447831954,0.5163960136610822,False,False,False,True
36,False,,0.0,,,False,False,False,False
37,True,26.0,0.7829774611510968,0.7829774611510968,0.6363965694168386,False,False,False,True
38,False,,0.1558940703718108,,,True,False,True,True
39,True,29.0,0.7528889265840283,0.7528889265840283,1.5022384983236927,True,False,False,True
40,False,,0.0,,,False,False,False,False
41,False,,0.0,,,False,False,False,False
42,True,42.0,0.8092151714198964,0.8092151714198964,0.7297011696772361,False,False,False,True
43,False,,0.0,,,False,False,False,False
44,True,63.0,0.773812658722792,0.773812658722792,0.6548925041476308,False,False,False,True
45,True,59.0,0.8662691533624437,0.8662691533624437,0.6114673017974708,False,False,False,True
46,True,60.0,0.8302516791202794,0.8302516791202794,0.8209217137322227,False,False,False,True
47,False,,0.0,,,False,False,False,False
48,False,,0.0,,,False,False,False,False
49,True,0.0,0.7803825235207058,0.7803825235207058,0.7278611845378506,False,False,False,True
50,False,,0.0,,,False,False,False,False
