ref_idx,matched,pred_idx,best_iou,match_iou,boundary_dist_m,merge_flag,split_flag,oversize_flag,any_overlap
0,False,,0.0,,,False,False,False,False
1,False,,0.0,,,False,False,False,False
2,False,,0.0,,,False,False,False,False
3,False,,0.0,,,False,False,False,False
4,False,,0.0,,,False,False,False,False
5,False,,0.0,,,False,False,False,False
6,False,,0.0,,,False,False,False,False
7,False,,0.0,,,False,False,False,False
8,False,,0.0511944489010672,,,False,False,True,True
9,False,,0.0,,,False,False,False,False
10,False,,0.0,,,False,False,False,False
11,False,,0.0,,,False,False,False,False
12,False,,0.03239803432140791,,,False,False,False,True
13,False,,0.013442396115904583,,,False,False,False,True
14,False,,0.02870782921555829,,,False,False,False,True
15,False,,0.0016878870142269672,,,False,False,False,True
16,False,,0.0011248298649072842,,,False,False,False,True
17,False,,0.03518771516479349,,,False,False,True,True
18,False,,0.12825907089854202,,,True,False,True,True
19,False,,0.0799544117492484,,,True,False,True,True
20,False,,0.0028801878749618037,,,False,False,False,True
21,False,,0.0005023851165879796,,,False,False,False,True
22,False,,0.0,,,False,False,False,False
23,False,,0.0,,,False,False,False,False
24,False,,0.0,,,False,False,False,False
25,False,,0.0,,,False,False,False,False
26,False,,0.04979238123160956,,,False,False,False,True
27,False,,0.0028893428425979736,,,False,False,False,True
28,False,,0.21930413213683791,,,False,False,True,True
29,False,,0.0,,,False,False,False,False
30,False,,0.0,,,False,False,False,False
31,False,,0.013610570316413698,,,False,False,False,True
32,False,,0.0,,,False,False,False,False
33,False,,0.05516364338705008,,,False,False,False,True
34,False,,0.00018458600795383498,,,False,False,False,True
35,False,,0.0,,,False,False,False,False
36,False,,0.0,,,False,False,False,False
37,False,,0.14284006465829502,,,False,False,False,True
38,False,,0.0,,,False,False,False,False
39,False,,0.0,,,False,False,False,False
40,False,,0.00248520427737924,,,False,False,False,True
41,False,,0.0,,,False,False,False,False
42,False,,0.031871027754590116,,,False,False,True,True
43,False,,0.0,,,False,False,False,False
44,False,,0.0,,,False,False,False,False
45,False,,0.0,,,False,False,False,False
46,False,,0.0,,,False,False,False,False
47,False,,0.0,,,False,False,False,False
48,False,,0.0,,,False,False,False,False
49,False,,0.0,,,False,False,False,False
50,False,,0.0,,,False,False,False,False
