block_id,cls,n_cells,n_covered,n_polys,covered_frac,area_ground_m2,fire_zone_frac
0,exhaustive,26,24,58,0.9230769230769231,19139.331722314862,0.0
1,partial,136,56,151,0.4117647058823529,34830.48235757901,0.0
2,partial,53,46,40,0.8679245283018868,17026.832849566585,0.0
3,partial,30,17,18,0.5666666666666667,7413.1745513236665,0.0
4,partial,24,20,18,0.8333333333333334,6885.857857491228,0.0
5,partial,40,16,19,0.4,6268.68885542378,0.0
6,partial,10,7,8,0.7,10825.443444835211,0.0
7,sparse,18,0,0,0.0,9065.566400448068,0.0
8,no_drawn_cells,0,0,1,,1466.7796768171886,0.0
9,partial,35,24,27,0.6857142857142857,7451.043959410724,0.0
10,sparse,34,10,19,0.29411764705882354,8933.989383895765,0.0
11,partial,25,19,21,0.76,6444.348089545417,0.0
12,partial,17,9,16,0.5294117647058824,4452.070545244744,0.7911275333969371
13,exhaustive,23,22,16,0.9565217391304348,4471.193788304353,0.0
14,no_drawn_cells,0,0,0,,5958.2818105679435,0.0
15,partial,13,10,16,0.7692307692307693,2513.566250193756,0.0
16,sparse,1,0,0,0.0,8599.354303922531,0.0
17,sparse,46,4,1,0.08695652173913043,11055.712429808385,0.4007272649181691
18,partial,12,6,8,0.5,3867.025000298086,0.0
19,sparse,25,4,25,0.16,8016.768744233306,0.0
20,partial,31,20,16,0.6451612903225806,6689.849105154425,0.01263335684668471
21,partial,32,25,28,0.78125,11134.306265368865,0.0
22,partial,34,18,30,0.5294117647058824,10547.572847325866,0.0
23,partial,41,25,27,0.6097560975609756,10715.71373747627,0.0
24,partial,9,7,1,0.7777777777777778,1765.192049030942,0.0
25,partial,50,25,37,0.5,9359.686977024217,0.0
26,partial,36,21,29,0.5833333333333334,8016.589183265611,0.0
27,partial,21,17,16,0.8095238095238095,6304.062366059865,0.0
28,off_plate,0,0,0,,15206.515583453012,
29,partial,51,38,31,0.7450980392156863,12943.472795388523,0.0
30,partial,21,16,12,0.7619047619047619,4503.513289528545,0.0
31,no_drawn_cells,0,0,0,,507.69068006328047,0.0
32,sparse,15,1,1,0.06666666666666667,4479.704978173137,0.0
33,off_plate,0,0,0,,9279.764678812462,
34,no_drawn_cells,0,0,0,,2599.2886561717605,0.0
35,off_plate,0,0,12,,10639.490106689376,0.0
36,off_plate,0,0,0,,15834.637804549906,0.0
37,no_drawn_cells,0,0,1,,1464.499252527451,0.0
38,exhaustive,31,28,24,0.9032258064516129,6709.349426246195,0.808230208479256
39,partial,38,32,24,0.8421052631578947,11539.898579200277,0.0
40,partial,67,39,43,0.582089552238806,17794.455986466393,0.0
41,sparse,7,2,4,0.2857142857142857,12686.574918906053,0.0
42,no_drawn_cells,0,0,0,,7055.991874383058,0.0
43,no_drawn_cells,0,0,0,,1305.6237083101523,0.0
44,sparse,17,4,19,0.23529411764705882,8592.42325056947,0.0
45,partial,24,8,15,0.3333333333333333,7112.948613336185,0.0
46,sparse,26,7,14,0.2692307692307692,8013.0697882987715,0.0
47,no_drawn_cells,0,0,17,,5208.776375308646,0.0
48,sparse,29,6,46,0.20689655172413793,17885.026538572187,0.0
49,partial,17,7,10,0.4117647058823529,4250.046500490129,0.0
50,no_drawn_cells,0,0,5,,15409.724730594418,0.0
51,no_drawn_cells,0,0,0,,10159.308166877103,0.0
52,partial,6,3,3,0.5,1687.260169186334,0.0
53,partial,27,14,23,0.5185185185185185,9781.152768909616,0.0
54,partial,10,4,14,0.4,2651.935931900187,0.6057686021522541
55,partial,17,11,16,0.6470588235294118,4447.384003987881,0.7523269155782637
56,sparse,1,0,0,0.0,7483.436757983057,0.0
57,no_drawn_cells,0,0,0,,2902.962164739002,0.0
58,no_drawn_cells,0,0,1,,11462.5437143169,0.0
59,no_drawn_cells,0,0,8,,12038.054571878907,0.0
60,partial,14,8,8,0.5714285714285714,2586.5757396588933,0.0
61,no_drawn_cells,0,0,0,,1680.349491794647,0.0
62,sparse,25,6,20,0.24,11969.587974896476,0.0
63,sparse,1,0,2,0.0,4025.505510386454,0.0
64,partial,14,8,13,0.5714285714285714,2724.011704333306,0.0
65,partial,23,17,34,0.7391304347826086,4136.007329906487,0.0
66,partial,52,34,39,0.6538461538461539,13760.349505727308,0.0
67,partial,28,12,27,0.42857142857142855,9102.789389051419,0.0
68,no_drawn_cells,0,0,0,,618.7964925278258,0.0
69,sparse,13,3,30,0.23076923076923078,4030.6768662560944,0.0
70,no_drawn_cells,0,0,0,,2392.793543321519,0.0
71,partial,31,19,20,0.6129032258064516,7683.6676129253165,0.0
72,partial,29,26,23,0.896551724137931,8607.093381630222,0.0
73,no_drawn_cells,0,0,0,,239.94732113198052,0.0
74,sparse,28,7,9,0.25,4714.732328790251,0.8014520206287912
75,partial,50,43,33,0.86,10135.067436238161,0.8337881300645714
76,partial,26,23,35,0.8846153846153846,8688.17182194019,0.0
77,off_plate,0,0,14,,8761.22851630035,0.0
78,partial,20,9,20,0.45,3896.921901419447,0.0
79,sparse,3,0,1,0.0,1203.8126396265986,0.0
80,partial,40,32,22,0.8,11814.231825646015,0.6006833577667248
81,no_drawn_cells,0,0,4,,9496.243381466593,0.0
82,sparse,3,0,2,0.0,1316.3032371458698,0.0
83,off_plate,0,0,0,,9315.982125996718,
84,off_plate,0,0,0,,9737.66310253368,
85,partial,13,5,3,0.38461538461538464,1056.554690019222,0.9407671274425575
86,partial,12,8,22,0.6666666666666666,7823.597055186098,0.2534210159083948
87,partial,149,83,53,0.5570469798657718,17864.98753457733,0.7807168203622051
88,partial,144,59,37,0.4097222222222222,20352.086498132714,0.7613526911835805
89,partial,55,27,24,0.4909090909090909,11704.555986577383,0.37360345494871944
90,off_plate,0,0,0,,9377.589494013167,
91,off_plate,0,0,0,,13626.953662826052,
92,sparse,1,0,0,0.0,604.8511196835115,0.0
93,no_drawn_cells,0,0,1,,1858.9228741681818,0.0
94,sparse,4,0,0,0.0,962.8059087852125,0.0
95,sparse,2,0,0,0.0,3553.7808921526544,0.0
96,off_plate,0,0,14,,10033.687313877077,0.0
97,off_plate,0,0,9,,10482.212655084571,0.0
98,partial,1,1,1,1.0,3415.55485922038,0.0
99,sparse,15,1,7,0.06666666666666667,11342.040348896207,0.0
100,sparse,78,18,33,0.23076923076923078,14832.669648710227,0.8365228354364282
101,sparse,7,0,0,0.0,3354.7196033650216,0.0
102,off_plate,0,0,0,,3387.0585336470467,
103,off_plate,0,0,0,,1534.1868640902153,
104,off_plate,0,0,7,,8538.967950486413,0.0
105,no_drawn_cells,0,0,1,,4384.9506555200305,0.0
106,sparse,12,2,10,0.16666666666666666,3445.7749700835934,0.0
107,partial,24,11,7,0.4583333333333333,1728.687304298373,0.9516579614244001
108,no_drawn_cells,0,0,4,,11368.202381889494,0.0
109,exhaustive,3,3,3,1.0,9643.788628622282,0.0
110,sparse,1,0,1,0.0,6779.46798413143,0.0
111,no_drawn_cells,0,0,2,,8295.716707548829,0.0
112,sparse,1,0,0,0.0,495.60622693734894,0.0
113,sparse,4,0,0,0.0,395.2855142856708,0.0
114,partial,31,14,24,0.45161290322580644,10283.95939065157,0.0
115,partial,28,16,19,0.5714285714285714,7262.253557975294,0.0
116,sparse,31,0,0,0.0,8725.064937406403,0.28279862903593805
117,sparse,20,0,0,0.0,4889.840184487255,0.9782493454447023
118,partial,41,22,35,0.5365853658536586,10811.904547870943,0.0
119,partial,11,8,21,0.7272727272727273,6252.384719556996,0.0
120,off_plate,0,0,6,,10568.976514675212,0.0
121,partial,99,61,37,0.6161616161616161,11625.423468113817,0.9083751815561489
122,partial,30,13,26,0.43333333333333335,7434.667823804353,0.0
123,partial,16,11,17,0.6875,7105.802262174397,0.0
124,off_plate,0,0,0,,10500.52787378955,
125,partial,29,18,22,0.6206896551724138,2322.0106098558103,0.9788911399954527
126,sparse,33,0,0,0.0,3345.885203754385,0.7426712366580679
127,sparse,11,3,12,0.2727272727272727,6115.918384108141,0.0
128,off_plate,0,0,2,,4123.3841938774685,0.0
129,off_plate,0,0,3,,9961.827014605193,0.0
130,partial,29,26,27,0.896551724137931,6873.917053139453,0.0
131,sparse,5,0,2,0.0,2048.775140248122,0.0
132,sparse,2,0,0,0.0,1285.4410555411375,0.0
133,off_plate,0,0,3,,4819.129075408625,0.0
134,sparse,7,2,4,0.2857142857142857,1720.104290042511,0.0
135,sparse,15,0,1,0.0,1576.1682183375078,0.9786362489451711
136,partial,36,24,16,0.6666666666666666,6162.496499128448,0.4929841230562592
137,sparse,2,0,1,0.0,3646.0752295483276,0.0
138,partial,1,1,1,1.0,2850.368757300884,0.0
139,off_plate,0,0,0,,11056.161332227624,
140,sparse,9,0,1,0.0,4109.755516429353,0.0
141,sparse,2,0,2,0.0,2265.448905031614,0.0
142,sparse,1,0,6,0.0,2413.6405716710087,0.0
143,partial,1,1,3,1.0,1712.7947909077307,0.0
144,partial,5,3,4,0.6,9399.388195491445,0.0
145,off_plate,0,0,0,,2518.378484128005,0.0
146,off_plate,0,0,3,,5439.530174894598,0.0
147,sparse,7,1,6,0.14285714285714285,1605.3109633945462,0.0
148,partial,3,1,2,0.3333333333333333,2701.1840343409276,0.0
149,partial,121,49,31,0.4049586776859504,13465.651450327749,0.936532026077996
150,off_plate,0,0,14,,7157.551557711837,0.0
151,sparse,6,0,0,0.0,1146.572383067648,0.0
152,exhaustive,50,47,49,0.94,15619.972667669505,0.0
153,exhaustive,10,10,5,1.0,3477.988207688231,0.0
154,no_drawn_cells,0,0,0,,1074.313269724343,0.0
155,sparse,4,0,0,0.0,770.6397611571009,0.6610279554618791
156,partial,163,93,41,0.5705521472392638,18019.104713150686,0.6648880109163204
157,off_plate,0,0,0,,9515.725746461594,
158,off_plate,0,0,0,,12412.816267556942,
159,exhaustive,7,7,9,1.0,2097.523488042443,0.0
160,partial,13,9,17,0.6923076923076923,8746.127438917129,0.0
161,no_drawn_cells,0,0,6,,10560.231895548424,0.0
162,sparse,40,10,9,0.25,4474.982524722735,0.9515616499098267
163,sparse,31,6,1,0.1935483870967742,7464.2237344396,0.8169409720536328
164,off_plate,0,0,0,,5558.632964767264,
165,partial,41,18,40,0.43902439024390244,13993.473798596518,0.0
166,sparse,16,0,0,0.0,2852.434760544432,0.9859875449405474
167,partial,2,1,1,0.5,3419.3685658358327,0.0
168,partial,6,4,11,0.6666666666666666,1321.4609856609275,0.8073994728415806
169,partial,12,4,16,0.3333333333333333,3212.7766584014425,0.0
170,partial,29,14,16,0.4827586206896552,5866.777541430132,0.0
171,off_plate,0,0,0,,11800.226070165738,
172,partial,49,15,14,0.30612244897959184,11285.676161136476,0.0
173,partial,66,32,22,0.48484848484848486,9788.191558843295,0.5393298376366192
174,sparse,10,0,0,0.0,2205.098463789034,0.0
175,partial,16,12,13,0.75,3136.6248520016275,0.0
176,partial,17,11,12,0.6470588235294118,5027.922568645374,0.0
177,sparse,7,0,0,0.0,1590.4433152693289,0.0
178,off_plate,0,0,1,,6994.27676978599,0.0
179,partial,33,24,22,0.7272727272727273,8196.760658251638,0.0
180,partial,52,34,28,0.6538461538461539,12869.996447407375,0.0
181,no_drawn_cells,0,0,13,,12938.283483422112,0.0
182,sparse,6,0,0,0.0,1771.3330341261403,0.0
183,partial,11,8,2,0.7272727272727273,3351.720935204501,0.0
184,partial,3,2,1,0.6666666666666666,3267.7761828066855,0.0
185,partial,18,11,10,0.6111111111111112,4178.688971927793,0.0
186,partial,47,34,34,0.723404255319149,11719.81866883153,0.0
187,partial,4,2,7,0.5,1416.6821668300431,0.0
188,sparse,1,0,0,0.0,1763.2527905798265,0.0
189,off_plate,0,0,0,,10126.125300046908,
190,off_plate,0,0,1,,11897.404465882739,0.0
191,sparse,1,0,2,0.0,5260.956792521063,0.0
192,sparse,9,0,0,0.0,3780.871647997611,0.0
193,partial,38,20,30,0.5263157894736842,8954.705458992643,0.0
194,partial,16,13,34,0.8125,10525.953706815284,0.0
195,partial,13,5,7,0.38461538461538464,2195.617644694693,0.0
196,no_drawn_cells,0,0,1,,1490.0617903680443,0.0
197,exhaustive,6,6,1,1.0,1394.0938179399218,0.0
198,partial,5,4,1,0.8,1475.5063398472075,0.0
199,partial,3,2,6,0.6666666666666666,1467.9468231072117,0.0
200,off_plate,0,0,12,,13057.045107456155,0.0
201,sparse,1,0,0,0.0,386.6198114589365,0.0
202,partial,15,11,13,0.7333333333333333,2576.2868962099205,0.724595258776953
203,sparse,1,0,2,0.0,4177.485913444231,0.0
204,sparse,1,0,1,0.0,3711.884324208861,0.0
205,sparse,7,0,1,0.0,3592.1351148524905,0.0
206,partial,41,24,21,0.5853658536585366,9384.107557140527,0.0
207,no_drawn_cells,0,0,19,,14255.686391213114,0.0
208,off_plate,0,0,0,,582.35213043122,0.0
209,partial,13,10,11,0.7692307692307693,1414.3119620564578,1.0
210,sparse,31,0,1,0.0,4229.863847721114,1.0
211,sparse,1,0,0,0.0,3909.0961350292264,0.0
212,partial,17,9,16,0.5294117647058824,7365.357465626258,0.0
213,partial,10,4,4,0.4,1453.9949359172433,0.0
214,partial,25,20,22,0.8,4375.074802296758,0.0
