id,name,owner,geom,building_type,built_date,replaced_date,built_date_confidence_pct,replaced_date_confidence_pct,source,timewalk_notes,street_address,num_floors,material,roof_type,fire_damage,confidence_notes,house_number,address_generated,building_type_original,building_color,timewalk_id,live_model_id
23,\N,\N,0106000020110F0000010000000103000000010000000D0000000000377E0F6D5FC10000F05869F5524100007713116D5FC1000050B56AF5524100002577116D5FC10000E8096BF5524100004E950D6D5FC10000089D6FF552410000DC2D0D6D5FC1000040456FF55241000000AD0C6D5FC1000080D66EF5524100009E1B0C6D5FC1000028126FF552410000A6D4096D5FC10000108569F55241000030950C6D5FC10000006468F552410000A7CC0D6D5FC1000038E467F552410000AE380E6D5FC10000184168F55241000034120F6D5FC1000018FC68F552410000377E0F6D5FC10000F05869F55241,commercial_middle,\N,\N,\N,\N,period_defaults_v1,\N,2 King George Street,2,wood_frame,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",2,t,residential_poor,#E8871A,tw_1776_01M08HMQZRK9W1Z6JADZMTX8A7,\N
25,\N,,0106000020110F0000010000000103000000010000000500000000003A9A096D5FC100002014CFF452410000E43F0B6D5FC10000A8ADCDF452410000077D0E6D5FC10000D87CD1F4524100005BD70C6D5FC1000048E3D2F4524100003A9A096D5FC100002014CFF45241,commercial_middle,\N,\N,\N,\N,1786_NYC_Directory,\N,77 Water Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. 1786 Directory match (post-war, owners may differ from 1776). Addr: 178 Water Street. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",77,t,residential_middle,#E8871A,tw_1776_01M08HMQZRQ3T2JMZFYHANC3PY,\N
26,\N,"""""Halftead B. goldsmith,",0106000020110F0000010000000103000000010000000900000000008608C66D5FC10000D0E93AF55241000064BAC76D5FC10000A0D73BF552410000A0F9C76D5FC1000048FA3BF552410000FA16C56D5FC10000083D41F5524100000ED8C46D5FC10000881A41F5524100003626C36D5FC10000B82C40F5524100001E8FC26D5FC10000E8D93FF5524100002871C56D5FC10000D8963AF5524100008608C66D5FC10000D0E93AF55241,residential_middle,\N,\N,\N,\N,great_fire_spatial_analysis; 1786_NYC_Directory,\N,37 Cortland Street/ Maiden Lane,2,wood_clapboard,gabled,destroyed_1776_great_fire,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. 1786 Directory match (post-war, owners may differ from 1776). Addr: 13 Cortland Street/ Maiden Lane. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",37,t,residential_middle,#A8C84A,tw_1776_01M08HMQZR0ZG4HFH2WGSGF8YY,\N
27,\N,\N,0106000020110F000001000000010300000001000000070000000000B3D2E86C5FC1000000D02DF5524100003ED4E76C5FC1000088B82EF5524100009F8FE76C5FC1000040F72EF552410000DEDCE46C5FC1000050032CF5524100006C21E56C5FC10000A8C42BF552410000FE1FE66C5FC1000008DC2AF552410000B3D2E86C5FC1000000D02DF55241,residential_middle,\N,\N,\N,\N,period_defaults_v2_stokes,\N,18 Jacob Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",18,t,residential_middle,#A8C84A,tw_1776_01M08HMQZR7BE3P9CYN5A9K9KT,\N
28,Osego Market,N/A,0106000020110F0000010000000103000000010000000B000000000070CDB66D5FC10000003B1AF552410000221CBB6D5FC1000010F013F552410000E05CBB6D5FC10000789113F55241000022F9BC6D5FC10000C89D14F552410000D896BE6D5FC1000008AB15F5524100008835C06D5FC10000E8B816F552410000D4A4C06D5FC10000580117F552410000065FBD6D5FC10000B8081CF552410000C200BD6D5FC1000060CB1BF552410000DEC0BB6D5FC10000B89E1DF55241000070CDB66D5FC10000003B1AF55241,commercial_wealthy,1765-06-01,\N,\N,\N,landmarks_table,\N,57 Liberty Street,1,wood_frame,shed,\N,House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Colonial market - open-air timber stalls/sheds. Matched to landmarks table via spatial proximity (<50m centroid distance),57,t,residential_wealthy,#D4AF37,tw_1776_01M08HMQZRBGHG41WA4JY3FE16,\N
30,\N,Goold Edward,0106000020110F0000010000000103000000010000000700000000000CC17E6D5FC10000284793F4524100000E0D7E6D5FC10000D0C092F452410000DC0A816D5FC1000028BF8EF452410000A0BE816D5FC1000058458FF4524100001A3B826D5FC1000040A28FF4524100009C3D7F6D5FC1000020A493F4524100000CC17E6D5FC10000284793F45241,commercial_wealthy,\N,\N,\N,\N,period_defaults_v1; 1786_NYC_Directory,\N,34 Wall Street,3,brick,hip,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. 1786 Directory match (post-war, owners may differ from 1776). Addr: 48 Wall Street. Wall Street financial district - brick construction dominant by 1770s. Blackmar ""Manhattan for Rent"" Ch.2.",34,t,commercial_wealthy,#D4AF37,tw_1776_01M08HMQZRP5A60B8RSZAG5148,\N
31,\N,\N,0106000020110F0000010000000103000000010000000900000000004890706D5FC10000F89DD1F45241000040836F6D5FC10000C0CDD0F4524100007E266F6D5FC10000F885D0F452410000486F736D5FC10000D0FCCAF452410000FECB736D5FC100009044CBF45241000026D9746D5FC10000E014CCF45241000060A8756D5FC1000048B5CCF452410000705F716D5FC10000503ED2F4524100004890706D5FC10000F89DD1F45241,government,\N,\N,\N,\N,period_defaults_v1,\N,26 Liberty Street,3,stone,hip,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",26,t,government,#7B4FA0,tw_1776_01M08HMQZR7AWK1T3QKHB1DZXW,\N
34,\N,\N,0106000020110F000001000000010300000001000000090000000000FE2EBD6D5FC10000500D6AF552410000983DBB6D5FC10000C82569F5524100008CCABA6D5FC1000038F068F552410000C852BD6D5FC10000B87F63F552410000CAC5BD6D5FC1000040B563F5524100002CB7BF6D5FC10000C89C64F5524100007AD0C06D5FC10000B81F65F5524100006048BE6D5FC1000048906AF552410000FE2EBD6D5FC10000500D6AF55241,residential_middle,\N,\N,\N,\N,great_fire_spatial_analysis,\N,47 Fulton Street / Partition Street - Fair Street,2,wood_clapboard,gabled,destroyed_1776_great_fire,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Inferred from building_type using 1776 Manhattan architectural norms. Wealthy=brick/3fl (post-1766 building code favored brick after fires). Middle=wood clapboard/2fl. Poor=wood frame/2fl. Govt=stone/3fl. See: Blackmar ""Manhattan for Rent"", Burrows & Wallace ""Gotham"" Ch.7-8.",47,t,commercial_middle,#A8C84A,tw_1776_01M08HMQZRMPH6GR8GCRC2TRPT,\N
35,\N,\N,0106000020110F0000010000000103000000010000000D00000000000CF2856D5FC10000C83963F5524100009C38896D5FC10000B8415EF5524100003ED08D6D5FC10000884861F55241000028068D6D5FC10000187B62F55241000034BB8D6D5FC1000038D062F55241000048E08E6D5FC10000185A63F552410000E6888C6D5FC10000285468F552410000FA638B6D5FC1000058CA67F55241000070C6896D5FC10000E80767F552410000EA27886D5FC10000004566F552410000608A866D5FC10000908265F552410000CAEF846D5FC1000088C164F5524100000CF2856D5FC10000C83963F55241,residential_middle,\N,\N,\N,\N,period_defaults_v2_stokes,\N,42 Vesey Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",42,t,residential_middle,#A8C84A,tw_1776_01M08HMQZRMKEFA8HTQ307DZS5,\N
37,\N,\N,0106000020110F0000010000000103000000010000000E00000000006EFEEB6C5FC10000D80716F5524100001A6FEA6C5FC10000E82214F552410000B7E0E86C5FC10000283F12F5524100003155E76C5FC10000D85E10F552410000F829ED6C5FC1000088280DF55241000089C1EE6C5FC10000A8490CF552410000A5F7EF6C5FC1000010A00BF55241000095D8F26C5FC10000C0E310F55241000087A2F16C5FC10000508D11F552410000C58FF06C5FC10000902312F55241000023A0F06C5FC10000703712F552410000A821F16C5FC10000B8D412F5524100000580EC6C5FC1000038A516F5524100006EFEEB6C5FC10000D80716F55241,residential_poor,\N,\N,\N,\N,period_defaults_v2_stokes,\N,27 Cliff Street,2,brick,gabled,\N,"House number generated (not confirmed). Pre-1793 NYC had no systematic numbering. Updated: Contemporary sources (Stokes IV, ca.1768 and 1770) state ""houses in general are built of brick, most of them in the Dutch method."" Brick was standard for middle-class housing in lower Manhattan by 1770s.",27,t,residential_middle,#8B5E3C,tw_1776_01M08HMQZRR69JCD13VDJZPCF2,\N
