id,owner,name,building_type,built_date,built_date_confidence_pct,replaced_date,replaced_date_confidence_pct,fire (y/n),timewalk_notes,source,geom,timewalk_id,live_model_id
1,\N,Fire commenced,Fire Event,\N,\N,\N,\N,\N,\N,\N,0106000020110F0000010000000103000000010000000500000008B75A57E56D5FC1F75E993919F45241426A742EE46D5FC1F1BC083314F452413D9920E6E76D5FC17CD96A5713F4524155393E07E96D5FC13B8F403C18F4524108B75A57E56D5FC1F75E993919F45241,\N,\N
2,British Crown,Fort George,Military,1626-09-01,75,1790-08-01,85,N,\N,\N,0106000020110F00000100000001030000000100000005000000C12A8458286E5FC12541625764F45241CC8E02B1066E5FC1B9AF150464F452419E156A1C056E5FC17C91292048F4524153CB9EE7266E5FC16C8B41674AF45241C12A8458286E5FC12541625764F45241,\N,\N
3,British Crown / Corporation of New York (joint military use),Lower Barracks,Military,1725-06-01,55,1776-09-21,85,Y,\N,\N,0106000020110F00000100000001030000000100000007000000A17F3FF9016E5FC12F8FA67916F4524135C793A3026E5FC1BB20B76D13F452418B713719106E5FC1B112D4DB16F45241E89E31B8106E5FC1F2F6036C14F45241AEEE9993146E5FC19769A76715F45241EBF2972F136E5FC139EF98DC1AF45241A17F3FF9016E5FC12F8FA67916F45241,\N,\N
4,British Crown / Corporation of New York (Join Military use),Upper Barracks,Military,1757-08-01,60,1776-09-21,85,Y,\N,\N,0106000020110F0000010000000103000000010000000500000069EB746D356D5FC1311613F4B7F55241F1CEB1BD1D6D5FC16F71CB09AAF552412C2C8E6D1F6D5FC13652BF4AA7F552419991D824376D5FC1721F0D26B5F5524169EB746D356D5FC1311613F4B7F55241,\N,\N
5,Corporation of the City of New York,City Hall,Civic,1700-01-01,60,1812-12-01,60,N,"The colonial City Hall on Wall Street was the political center of New York in the 18th century. It housed the city’s Common Council, courts, and assemblies, and became the seat of government during key colonial crises. It also symbolized New York’s s",\N,0106000020110F0000010000000103000000010000000D0000001D0B20C9B86D5FC194A15BDACFF45241A0E1CD29B76D5FC1BBA4F34ECEF45241010F32FDB86D5FC1853CCC4BCCF45241CC8ACD08B66D5FC145C6889DC9F45241C1C6531FB46D5FC1528207B9CBF452418BFAE208B26D5FC165B623D4C9F45241FABD87A4B86D5FC18190A08BC2F45241898B2277BA6D5FC16375F832C4F452415C4908D7B86D5FC10D3498FDC5F45241755725ECBB6D5FC138928BC9C8F452416FBBA685BD6D5FC188473106C7F452417BE25651BF6D5FC178B042A7C8F452411D0B20C9B86D5FC194A15BDACFF45241,\N,\N
6,Corporation of the City of New York,Royal Exchange,Civic,1675-06-01,50,1832-09-21,70,N,\N,\N,0106000020110F00000100000001030000000100000005000000C2A0FB86D26D5FC107FFB1FE34F4524129512977D06D5FC1CD9D9C4B2DF45241D3A49F96D56D5FC1E685E8D42BF4524109D1A843D66D5FC16C8FFF6134F45241C2A0FB86D26D5FC107FFB1FE34F45241,\N,\N
7,Corporation of the City of New York,Poor House (Alms house),Civic,1736-11-01,70,1816-05-01,85,N,\N,\N,0106000020110F00000100000001030000000100000005000000F093590E3A6D5FC1F37E477492F552415BFA66AC336D5FC1CB95CE338EF552417F33417E356D5FC15475634B8BF552417BEC8CDD3B6D5FC19E12768A8FF55241F093590E3A6D5FC1F37E477492F55241,\N,\N
8,Corporation of the City of New York,Debtor's Prison,Prison,1759-07-01,50,1903-05-01,95,N,"Built originally as the “New Gaol,” this structure served multiple functions: first as a colonial jail, later as a Revolutionary prison under British control, and finally as the city’s Debtors’ Prison in the early Republic. Its heavy stone walls",\N,0106000020110F00000100000001030000000100000006000000D8C74DC7306D5FC1E4F3FD138AF55241E0B4192E2D6D5FC1719D5BC690F552410147E0A4266D5FC144173F518DF55241C837E2322A6D5FC11449F59886F55241C837E2322A6D5FC11449F59886F55241D8C74DC7306D5FC1E4F3FD138AF55241,\N,\N
9,Corporation of the City of New York,Bridewell Prison,Prison,1770-05-01,50,1838-09-01,70,N,"Bridewell was built to house criminals and the city’s poor but gained a notorious role during the Revolution. After the British occupation in 1776, it became a military prison where American soldiers and civilians were confined in squalid, disease-ridd",\N,0106000020110F000001000000010300000001000000050000002CC99B1A506D5FC1EE173AD2A0F552410B7B6319466D5FC1C0F669389AF55241A1BBAA7A486D5FC1DA2A5C8F96F5524131C6D267526D5FC148F9C3329DF552412CC99B1A506D5FC1EE173AD2A0F55241,\N,\N
10,Corporation of Trinity Church (Church of England Parish),Trinity Church,Religious,1698-05-06,90,1776-09-21,95,Y,\N,\N,0106000020110F0000010000000103000000010000001B0000002DFB4E0ADB6D5FC138010DB0E2F45241E4548A6ADD6D5FC1995082D6DEF45241C17B8910E16D5FC147FCEF1BE1F45241C6D40937E36D5FC1AFF1FAB9DDF452417280777CE56D5FC1DD6C8C1ADFF4524158867E72E46D5FC14DD7F2FAE0F45241AD37C485E86D5FC183C3AC6BE3F452411E9AF2C2EA6D5FC136B8FCCFDFF452414BA30812F26D5FC14166614BE4F4524104F91040F06D5FC1E52AF83CE7F452416960C5B0EF6D5FC12C55A4DEE6F452412805B118EC6D5FC183903BAEECF4524145FFA922ED6D5FC1F1647C5DEDF452417EB2C3F9EB6D5FC159211523EFF45241DCA1FB3DED6D5FC1013DC7F1EFF45241FE170D46EC6D5FC1FB167DAAF1F452410EDAE678EB6D5FC13C6AC23EF1F45241A38E07EDEB6D5FC135CC646AF0F4524186D2A386EA6D5FC1F6BDFC83EFF452418FB5DE08EA6D5FC1AD894A56F0F45241DE38DD0FE36D5FC10A0C5FFBEBF45241CC72670BE46D5FC19699C077EAF452410BB873E1DF6D5FC199237BD3E7F452415632DCE2DE6D5FC14BDF585FE9F452412C8104F5DC6D5FC12437923AE8F45241E9E277F8DE6D5FC1BEBFD622E5F452412DFB4E0ADB6D5FC138010DB0E2F45241,\N,\N
