ogc_fid,cnnctnstrt,cnnctnnd,rulefile,startrule,name_2,name,type,fid,randomseed,strtwdth,sdwlkwdthr,precision,sdwlkwdthl,lanewidth,shape__id,strtffst,shpcrtn,geom
1,CROSSING,CROSSING,roads.cga,Start,PearlStreet,Major Edge,MAJOR,532.00000000,-365802.00000000,16.00000000,0.00000000,1.00000000,0.00000000,3.50000000,531.00000000,0.00000000,t,01050000A0110F00000100000001020000800200000000000060A96C5FC10000009045F5524100000000E1A91840000000E0A86C5FC1000000A04EF5524100000000E1A91840
2,STREET,CROSSING,roads.cga,Start,William Street,Major Edge,MAJOR,626.00000000,231022.00000000,14.00000000,0.00000000,1.00000000,0.00000000,3.50000000,625.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000D0886D5FC100000040C5F45241000000801BE51F40000000D0826D5FC100000030CDF45241000000004D831C40
3,CROSSING,STREET,roads.cga,Start,John Street,Major Edge,MAJOR,160.00000000,231022.00000000,34.00000000,0.00000000,1.00000000,0.00000000,3.50000000,159.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000002C6D5FC1000000D0CEF4524100000000FC67004000000010296D5FC1000000D0CAF4524100000000FC670040
4,STREET,STREET,roads.cga,Start,Broadway,Major Edge,MAJOR,260.00000000,-258260.00000000,24.00000000,0.00000000,1.00000000,0.00000000,3.50000000,259.00000000,2.00000000,t,01050000A0110F000001000000010200008002000000000000D0F66C5FC1000000F041F652410000008088BF1F4000000050F06C5FC1000000904CF6524100000080D85D1D40
5,CROSSING,STREET,roads.cga,Start,LumberStreet,Major Edge,MAJOR,141.00000000,-258260.00000000,18.00000000,0.00000000,1.00000000,0.00000000,3.50000000,140.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000C09F6D5FC10000006093F552410000008046441E40000000F0996D5FC1000000609DF552410000008065342040
6,CROSSING,CROSSING,roads.cga,Start,GravelStreet,Major Edge,MAJOR,532.00000000,-365802.00000000,6.00000000,0.00000000,1.00000000,0.00000000,3.50000000,531.00000000,0.00000000,t,01050000A0110F00000100000001020000800200000000000070B76D5FC1000000604AF4524100000000A4EF034000000060AC6D5FC1000000A03BF4524100000000F87DF23F
7,STREET,CROSSING,roads.cga,Start,PearlStreet,Major Edge,MAJOR,532.00000000,-365802.00000000,16.00000000,0.00000000,1.00000000,0.00000000,3.50000000,531.00000000,0.00000000,t,01050000A0110F0000010000000102000080020000000000C87FEC6C5FC10000D057F1F4524100000000EC9B114000000090E56C5FC100000050F6F452410000000020821140
8,STREET,CROSSING,roads.cga,Start,BroadStreet,Major Edge,MAJOR,383.00000000,331727.00000000,28.00000000,0.00000000,1.00000000,0.00000000,3.50000000,382.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000E0D36D5FC10000006035F45241000000000868F73F00000000D36D5FC1000000802CF4524100000000DC89FB3F
9,CROSSING,STREET,roads.cga,Start,Rector Street,Major Edge,MAJOR,190.00000000,231022.00000000,6.00000000,0.00000000,1.00000000,0.00000000,3.50000000,189.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000F0106E5FC1000000D09DF4524100000000E1A91840000000301A6E5FC1000000F08DF4524100000000E44F1640
10,STREET,STREET,roads.cga,Start,BridgeStreet,Major Edge,MAJOR,64.00000000,231022.00000000,18.00000000,0.00000000,1.00000000,0.00000000,3.50000000,63.00000000,0.00000000,t,01050000A0110F00000100000001020000800200000000000010056E5FC1000000C0FCF45241000000008A500E4000000060096E5FC1000000F0EFF45241000000009EE10C40
11,CROSSING,STREET,roads.cga,Start,Fetcher Street,Major Edge,MAJOR,121.00000000,-23593.00000000,12.00000000,0.00000000,1.00000000,0.00000000,3.50000000,120.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000E0306D5FC1000000A0AAF45241000000008038F93F000000003B6D5FC1000000A0B5F4524100000000FC670040
12,STREET,STREET,roads.cga,Start,Frankfort Street,Major Edge,MAJOR,609.00000000,487402.00000000,16.00000000,0.00000000,1.00000000,0.00000000,3.50000000,608.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000C0DD6C5FC1000000903AF5524100000000EC9B114000000000E46C5FC1000000C040F5524100000000EC9B1140
13,STREET,DEAD_END,roads.cga,Start,ForsythStreet,Major Edge,MAJOR,400.00000000,135581.00000000,14.00000000,0.00000000,1.00000000,0.00000000,3.50000000,399.00000000,0.00000000,t,01050000A0110F00000100000001020000800200000000000060D96B5FC1000000903FF65241000000C0DDE9264000000030D56B5FC1000000D04AF65241000000C0DDE92640
14,CROSSING,STREET,roads.cga,Start,BroadStreet,Major Edge,MAJOR,365.00000000,231022.00000000,16.00000000,0.00000000,1.00000000,0.00000000,3.50000000,364.00000000,0.00000000,t,01050000A0110F00000100000001020000800200000000000010BD6D5FC100000090C5F4524100000080FF4D1D4000000010C26D5FC1000000A0B9F452410000000080981840
15,STREET,STREET,roads.cga,Start,John Street,Major Edge,MAJOR,473.00000000,-258260.00000000,18.00000000,0.00000000,1.00000000,0.00000000,3.50000000,472.00000000,0.00000000,t,01050000A0110F00000100000001020000800200000000000050576D5FC100000040FBF4524100000000D2CD1A4000000030526D5FC1000000F0F6F4524100000000E1A91840
16,STREET,CROSSING,roads.cga,Start,GravelStreet,Major Edge,MAJOR,42.00000000,247456.00000000,14.00000000,0.00000000,1.00000000,0.00000000,3.00000000,41.00000000,1.10000000,t,01050000A0110F000001000000010200008002000000000000E0906D5FC1000000C06DF4524100000000E0830E40000000F0956D5FC1000000F069F4524100000000E8CF0940
17,STREET,DEAD_END,piers.cga,Start,Pier,Major Edge,MAJOR,606.00000000,231022.00000000,10.00000000,0.00000000,1.00000000,0.00000000,3.50000000,605.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000E0996C5FC1000000D0FAF4524100000000F87DF23F00001CC5996C5FC100000090FAF4524100000000F87DF23F
18,STREET,CROSSING,roads.cga,Start,BroadStreet,Major Edge,MAJOR,289.00000000,231022.00000000,16.00000000,0.00000000,1.00000000,0.00000000,3.50000000,288.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000709E6D5FC1000000E0F2F4524100000080E362234000000030986D5FC1000000E0FBF4524100000080836F2140
19,STREET,STREET,roads.cga,Start,HesterStreet,Major Edge,MAJOR,471.00000000,135581.00000000,12.00000000,0.00000000,1.00000000,0.00000000,3.50000000,470.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000709D6B5FC1000000E00AF65241000000C0DFBC2540000000D0946B5FC10000007007F65241000000C0DFBC2540
20,STREET,STREET,roads.cga,Start,Gold Street,Major Edge,MAJOR,409.00000000,-258260.00000000,12.00000000,0.00000000,1.00000000,0.00000000,3.50000000,408.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000F04E6D5FC100000070E4F4524100000000E8F51340000000304C6D5FC1000000B0E8F4524100000000AC031540
21,STREET,CROSSING,roads.cga,Start,WaterStreet,Major Edge,MAJOR,362.00000000,231022.00000000,16.00000000,0.00000000,1.00000000,0.00000000,3.50000000,361.00000000,0.00000000,t,01050000A0110F000001000000010200008002000000000000D0946D5FC1000000B04EF4524100000000FC670040000000B08C6D5FC10000006055F45241000000002E690040
