id,block_id,on_plate,alignment_class,cell_class,block_coverage_class,split,negatives_allowed_in_block
23,152,True,weak_ink_support,loose_placement,exhaustive,val,True
25,5,True,weak_ink_support,loose_placement,partial,train,False
26,88,True,weak_ink_support,loose_placement,partial,train,False
27,1,True,weak_ink_support,loose_placement,partial,val,False
28,156,True,weak_ink_support,loose_placement,partial,train,False
30,165,True,weak_ink_support,loose_placement,partial,train,False
31,2,True,weak_ink_support,loose_placement,partial,train,False
34,87,True,aligned,traced_merged_cells,partial,train,False
35,173,True,weak_ink_support,loose_placement,partial,train,False
37,180,True,aligned,loose_placement,partial,train,False
38,169,True,weak_ink_support,loose_placement,partial,train,False
39,45,True,weak_ink_support,loose_placement,partial,train,False
40,76,True,aligned,traced_merged_cells,partial,train,False
44,225,True,weak_ink_support,loose_placement,partial,train,False
45,29,True,weak_ink_support,loose_placement,partial,train,False
46,0,True,weak_ink_support,blank_plate,exhaustive,val,True
47,159,True,weak_ink_support,loose_placement,exhaustive,train,True
48,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
53,195,True,aligned,loose_placement,partial,train,False
55,259,True,weak_ink_support,loose_placement,partial,train,False
79,152,True,weak_ink_support,loose_placement,exhaustive,val,True
81,5,True,weak_ink_support,loose_placement,partial,train,False
82,88,True,weak_ink_support,loose_placement,partial,train,False
83,1,True,weak_ink_support,loose_placement,partial,val,False
84,156,True,weak_ink_support,loose_placement,partial,train,False
86,165,True,weak_ink_support,loose_placement,partial,train,False
87,2,True,weak_ink_support,loose_placement,partial,train,False
90,87,True,aligned,loose_placement,partial,train,False
94,169,True,weak_ink_support,loose_placement,partial,train,False
95,45,True,weak_ink_support,loose_placement,partial,train,False
96,76,True,weak_ink_support,loose_placement,partial,train,False
100,225,True,weak_ink_support,loose_placement,partial,train,False
101,29,True,weak_ink_support,traced_merged_cells,partial,train,False
104,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
106,55,True,aligned,traced_single_cell,partial,train,False
109,195,True,weak_ink_support,loose_placement,partial,train,False
111,259,True,weak_ink_support,loose_placement,partial,train,False
135,152,True,weak_ink_support,loose_placement,exhaustive,val,True
137,5,True,aligned,traced_single_cell,partial,train,False
138,88,True,weak_ink_support,loose_placement,partial,train,False
139,1,True,weak_ink_support,loose_placement,partial,val,False
140,156,True,aligned,loose_placement,partial,train,False
142,165,True,weak_ink_support,loose_placement,partial,train,False
143,2,True,weak_ink_support,traced_merged_cells,partial,train,False
146,87,True,weak_ink_support,loose_placement,partial,train,False
150,169,True,weak_ink_support,loose_placement,partial,train,False
151,45,True,weak_ink_support,loose_placement,partial,train,False
152,76,True,aligned,traced_single_cell,partial,train,False
156,225,True,weak_ink_support,loose_placement,partial,train,False
157,29,True,aligned,loose_placement,partial,train,False
159,85,True,aligned,loose_placement,partial,train,False
162,55,True,weak_ink_support,loose_placement,partial,train,False
163,89,True,weak_ink_support,loose_placement,partial,train,False
165,195,True,weak_ink_support,loose_placement,partial,train,False
167,259,True,weak_ink_support,traced_single_cell,partial,train,False
191,152,True,weak_ink_support,loose_placement,exhaustive,val,True
193,5,True,weak_ink_support,loose_placement,partial,train,False
194,88,True,weak_ink_support,loose_placement,partial,train,False
195,1,True,weak_ink_support,loose_placement,partial,val,False
196,156,True,weak_ink_support,loose_placement,partial,train,False
198,165,True,weak_ink_support,traced_merged_cells,partial,train,False
199,2,True,weak_ink_support,loose_placement,partial,train,False
201,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
202,87,True,weak_ink_support,traced_merged_cells,partial,train,False
206,169,True,weak_ink_support,loose_placement,partial,train,False
207,45,True,weak_ink_support,loose_placement,partial,train,False
208,76,True,weak_ink_support,loose_placement,partial,train,False
212,225,True,modern_proxy_suspect,loose_placement,partial,train,False
213,29,True,weak_ink_support,loose_placement,partial,train,False
214,10,True,aligned,loose_placement,sparse,train,False
215,85,True,aligned,loose_placement,partial,train,False
218,55,True,aligned,loose_placement,partial,train,False
221,195,True,weak_ink_support,loose_placement,partial,train,False
223,259,True,weak_ink_support,loose_placement,partial,train,False
247,152,True,weak_ink_support,loose_placement,exhaustive,val,True
248,81,True,weak_ink_support,blank_plate,no_drawn_cells,val,False
249,5,True,weak_ink_support,loose_placement,partial,train,False
251,1,True,weak_ink_support,blank_plate,partial,val,False
252,156,True,weak_ink_support,traced_merged_cells,partial,train,False
254,165,True,aligned,traced_single_cell,partial,train,False
255,2,True,weak_ink_support,loose_placement,partial,train,False
257,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
258,87,True,aligned,traced_single_cell,partial,train,False
262,169,True,weak_ink_support,loose_placement,partial,train,False
263,45,True,weak_ink_support,loose_placement,partial,train,False
264,76,True,weak_ink_support,loose_placement,partial,train,False
268,225,True,weak_ink_support,traced_merged_cells,partial,train,False
269,29,True,weak_ink_support,loose_placement,partial,train,False
271,85,True,aligned,traced_merged_cells,partial,train,False
274,55,True,aligned,loose_placement,partial,train,False
277,195,True,weak_ink_support,loose_placement,partial,train,False
278,12,True,weak_ink_support,loose_placement,partial,train,False
279,259,True,weak_ink_support,loose_placement,partial,train,False
303,152,True,weak_ink_support,loose_placement,exhaustive,val,True
304,81,True,weak_ink_support,blank_plate,no_drawn_cells,val,False
305,5,True,weak_ink_support,loose_placement,partial,train,False
306,88,True,aligned,loose_placement,partial,train,False
307,1,True,weak_ink_support,blank_plate,partial,val,False
308,156,True,weak_ink_support,traced_merged_cells,partial,train,False
309,100,True,weak_ink_support,loose_placement,sparse,train,False
310,165,True,aligned,traced_single_cell,partial,train,False
311,2,True,weak_ink_support,loose_placement,partial,train,False
313,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
314,87,True,weak_ink_support,loose_placement,partial,train,False
318,169,True,weak_ink_support,loose_placement,partial,train,False
324,225,True,weak_ink_support,traced_merged_cells,partial,train,False
325,29,True,weak_ink_support,loose_placement,partial,train,False
326,10,True,weak_ink_support,loose_placement,sparse,train,False
328,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
330,55,True,aligned,traced_merged_cells,partial,train,False
333,195,True,weak_ink_support,loose_placement,partial,train,False
334,12,True,weak_ink_support,loose_placement,partial,train,False
335,259,True,weak_ink_support,loose_placement,partial,train,False
359,152,True,weak_ink_support,loose_placement,exhaustive,val,True
360,81,True,weak_ink_support,blank_plate,no_drawn_cells,val,False
361,5,True,weak_ink_support,loose_placement,partial,train,False
362,88,True,weak_ink_support,loose_placement,partial,train,False
363,1,True,weak_ink_support,blank_plate,partial,val,False
364,156,True,weak_ink_support,traced_merged_cells,partial,train,False
365,100,True,weak_ink_support,loose_placement,sparse,train,False
366,165,True,aligned,traced_single_cell,partial,train,False
367,2,True,weak_ink_support,loose_placement,partial,train,False
369,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
370,87,True,weak_ink_support,loose_placement,partial,train,False
374,169,True,weak_ink_support,loose_placement,partial,train,False
376,118,True,weak_ink_support,loose_placement,partial,train,False
377,58,True,weak_ink_support,blank_plate,no_drawn_cells,val,False
380,225,True,aligned,loose_placement,partial,train,False
381,29,True,weak_ink_support,loose_placement,partial,train,False
384,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
385,221,False,off_plate,off_plate,off_plate,excluded_off_plate,False
386,55,True,aligned,traced_single_cell,partial,train,False
390,12,True,weak_ink_support,loose_placement,partial,train,False
391,259,True,weak_ink_support,traced_single_cell,partial,train,False
415,152,True,weak_ink_support,loose_placement,exhaustive,val,True
416,81,True,weak_ink_support,blank_plate,no_drawn_cells,val,False
417,5,True,weak_ink_support,loose_placement,partial,train,False
418,88,True,weak_ink_support,loose_placement,partial,train,False
419,1,True,weak_ink_support,loose_placement,partial,val,False
420,156,True,weak_ink_support,loose_placement,partial,train,False
421,100,True,weak_ink_support,loose_placement,sparse,train,False
422,165,True,weak_ink_support,traced_single_cell,partial,train,False
423,2,True,weak_ink_support,loose_placement,partial,train,False
426,87,True,weak_ink_support,loose_placement,partial,train,False
427,173,True,weak_ink_support,loose_placement,partial,train,False
429,72,True,weak_ink_support,loose_placement,partial,train,False
430,169,True,weak_ink_support,loose_placement,partial,train,False
432,118,True,weak_ink_support,loose_placement,partial,train,False
436,225,True,aligned,loose_placement,partial,train,False
437,29,True,weak_ink_support,loose_placement,partial,train,False
438,10,True,weak_ink_support,loose_placement,sparse,train,False
439,90,False,off_plate,off_plate,off_plate,excluded_off_plate,False
440,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
441,221,False,off_plate,off_plate,off_plate,excluded_off_plate,False
442,55,True,weak_ink_support,loose_placement,partial,train,False
446,12,True,weak_ink_support,loose_placement,partial,train,False
447,259,True,weak_ink_support,traced_merged_cells,partial,train,False
471,152,True,weak_ink_support,loose_placement,exhaustive,val,True
474,88,True,aligned,traced_merged_cells,partial,train,False
475,1,True,weak_ink_support,loose_placement,partial,val,False
476,156,True,weak_ink_support,loose_placement,partial,train,False
477,100,True,weak_ink_support,loose_placement,sparse,train,False
478,165,True,weak_ink_support,loose_placement,partial,train,False
479,2,True,weak_ink_support,loose_placement,partial,train,False
482,87,True,weak_ink_support,loose_placement,partial,train,False
483,173,True,aligned,loose_placement,partial,train,False
485,72,True,weak_ink_support,loose_placement,partial,train,False
487,27,True,aligned,loose_placement,partial,train,False
488,118,True,modern_proxy_suspect,loose_placement,partial,train,False
492,225,True,aligned,loose_placement,partial,train,False
493,29,True,weak_ink_support,loose_placement,partial,train,False
495,90,False,off_plate,off_plate,off_plate,excluded_off_plate,False
496,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
497,221,False,off_plate,off_plate,off_plate,excluded_off_plate,False
498,55,True,weak_ink_support,loose_placement,partial,train,False
502,12,True,weak_ink_support,loose_placement,partial,train,False
503,259,True,weak_ink_support,loose_placement,partial,train,False
527,152,True,weak_ink_support,loose_placement,exhaustive,val,True
529,44,True,aligned,traced_merged_cells,sparse,train,False
531,1,True,aligned,loose_placement,partial,val,False
532,156,True,weak_ink_support,loose_placement,partial,train,False
533,100,True,weak_ink_support,loose_placement,sparse,train,False
535,2,True,weak_ink_support,loose_placement,partial,train,False
538,87,True,weak_ink_support,loose_placement,partial,train,False
539,173,True,aligned,traced_merged_cells,partial,train,False
541,72,True,weak_ink_support,loose_placement,partial,train,False
543,27,True,weak_ink_support,loose_placement,partial,train,False
544,118,True,modern_proxy_suspect,loose_placement,partial,train,False
549,29,True,weak_ink_support,loose_placement,partial,train,False
550,10,True,weak_ink_support,loose_placement,sparse,train,False
552,150,False,off_plate,off_plate,off_plate,excluded_off_plate,False
553,221,False,off_plate,off_plate,off_plate,excluded_off_plate,False
554,55,True,weak_ink_support,loose_placement,partial,train,False
555,89,True,aligned,loose_placement,partial,train,False
558,12,True,weak_ink_support,loose_placement,partial,train,False
559,259,True,aligned,loose_placement,partial,train,False
583,152,True,weak_ink_support,loose_placement,exhaustive,val,True
585,44,True,aligned,loose_placement,sparse,train,False
586,88,True,aligned,loose_placement,partial,train,False
587,1,True,weak_ink_support,loose_placement,partial,val,False
588,156,True,weak_ink_support,loose_placement,partial,train,False
589,100,True,weak_ink_support,loose_placement,sparse,train,False
591,2,True,weak_ink_support,loose_placement,partial,train,False
593,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
594,87,True,weak_ink_support,loose_placement,partial,train,False
595,173,True,weak_ink_support,loose_placement,partial,train,False
597,72,True,aligned,traced_single_cell,partial,train,False
599,27,True,weak_ink_support,loose_placement,partial,train,False
600,118,True,modern_proxy_suspect,loose_placement,partial,train,False
604,252,True,weak_ink_support,traced_single_cell,exhaustive,train,True
605,29,True,weak_ink_support,loose_placement,partial,train,False
607,90,False,off_plate,off_plate,off_plate,excluded_off_plate,False
610,55,True,weak_ink_support,loose_placement,partial,train,False
614,12,True,weak_ink_support,loose_placement,partial,train,False
639,152,True,weak_ink_support,loose_placement,exhaustive,val,True
641,44,True,aligned,loose_placement,sparse,train,False
642,88,True,weak_ink_support,loose_placement,partial,train,False
643,1,True,aligned,loose_placement,partial,val,False
644,156,True,aligned,traced_merged_cells,partial,train,False
645,100,True,weak_ink_support,loose_placement,sparse,train,False
647,2,True,weak_ink_support,loose_placement,partial,train,False
649,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
650,87,True,weak_ink_support,loose_placement,partial,train,False
651,173,True,weak_ink_support,loose_placement,partial,train,False
653,72,True,weak_ink_support,loose_placement,partial,train,False
655,27,True,weak_ink_support,loose_placement,partial,train,False
656,118,True,modern_proxy_suspect,loose_placement,partial,train,False
660,252,True,weak_ink_support,loose_placement,exhaustive,train,True
661,29,True,aligned,loose_placement,partial,train,False
663,90,False,off_plate,off_plate,off_plate,excluded_off_plate,False
670,12,True,weak_ink_support,loose_placement,partial,train,False
695,152,True,weak_ink_support,loose_placement,exhaustive,val,True
697,44,True,aligned,loose_placement,sparse,train,False
698,88,True,weak_ink_support,loose_placement,partial,train,False
699,1,True,weak_ink_support,loose_placement,partial,val,False
700,156,True,aligned,loose_placement,partial,train,False
701,100,True,weak_ink_support,loose_placement,sparse,train,False
702,19,True,weak_ink_support,loose_placement,sparse,train,False
703,2,True,aligned,loose_placement,partial,train,False
705,96,False,off_plate,off_plate,off_plate,excluded_off_plate,False
706,87,True,weak_ink_support,loose_placement,partial,train,False
707,173,True,weak_ink_support,traced_merged_cells,partial,train,False
