id,block_id,on_plate,alignment_class,cell_class,block_coverage_class,split,negatives_allowed_in_block
1,202,True,weak_ink_support,loose_placement,partial,train,False
2,183,True,modern_proxy_suspect,loose_placement,partial,train,False
3,245,True,aligned,loose_placement,sparse,train,False
4,204,True,weak_ink_support,loose_placement,sparse,val,False
5,53,True,weak_ink_support,loose_placement,partial,train,False
6,12,True,weak_ink_support,loose_placement,partial,train,False
7,260,True,weak_ink_support,loose_placement,sparse,val,False
8,260,True,weak_ink_support,loose_placement,sparse,val,False
9,63,True,weak_ink_support,loose_placement,sparse,val,False
10,163,True,modern_proxy_suspect,loose_placement,sparse,train,False
11,180,True,weak_ink_support,loose_placement,partial,train,False
12,173,True,modern_proxy_suspect,loose_placement,partial,train,False
13,21,True,weak_ink_support,loose_placement,partial,train,False
14,26,True,aligned,loose_placement,partial,train,False
15,119,True,weak_ink_support,loose_placement,partial,train,False
16,46,True,aligned,loose_placement,sparse,train,False
17,205,True,aligned,loose_placement,sparse,train,False
18,209,True,weak_ink_support,loose_placement,partial,train,False
19,233,True,weak_ink_support,loose_placement,partial,val,False
20,3,True,weak_ink_support,loose_placement,partial,train,False
21,172,True,aligned,loose_placement,partial,train,False
22,122,True,aligned,loose_placement,partial,train,False
23,45,True,weak_ink_support,loose_placement,partial,train,False
24,23,True,weak_ink_support,loose_placement,partial,train,False
25,172,True,modern_proxy_suspect,loose_placement,partial,train,False
26,0,True,weak_ink_support,blank_plate,exhaustive,val,True
27,206,True,weak_ink_support,loose_placement,partial,train,False
28,67,True,weak_ink_support,loose_placement,partial,train,False
29,39,True,weak_ink_support,loose_placement,partial,train,False
30,25,True,aligned,loose_placement,partial,train,False
31,212,True,weak_ink_support,loose_placement,partial,train,False
32,49,True,aligned,loose_placement,partial,train,False
33,156,True,weak_ink_support,loose_placement,partial,train,False
34,121,True,weak_ink_support,loose_placement,partial,train,False
35,53,True,weak_ink_support,loose_placement,partial,train,False
36,26,True,weak_ink_support,loose_placement,partial,train,False
37,86,True,weak_ink_support,loose_placement,partial,train,False
38,233,True,weak_ink_support,loose_placement,partial,val,False
39,1,True,weak_ink_support,loose_placement,partial,val,False
40,22,True,aligned,loose_placement,partial,train,False
41,71,True,weak_ink_support,loose_placement,partial,train,False
42,100,True,aligned,loose_placement,sparse,train,False
43,148,True,weak_ink_support,loose_placement,partial,train,False
44,15,True,weak_ink_support,loose_placement,partial,train,False
45,53,True,aligned,traced_single_cell,partial,train,False
46,89,True,weak_ink_support,traced_single_cell,partial,train,False
47,89,True,weak_ink_support,traced_merged_cells,partial,train,False
48,89,True,weak_ink_support,traced_single_cell,partial,train,False
49,89,True,aligned,traced_single_cell,partial,train,False
50,0,True,weak_ink_support,loose_placement,exhaustive,val,True
51,76,True,weak_ink_support,loose_placement,partial,train,False
52,24,True,weak_ink_support,loose_placement,partial,train,False
53,93,True,weak_ink_support,loose_placement,no_drawn_cells,train,False
54,8,True,weak_ink_support,loose_placement,no_drawn_cells,train,False
59,13,True,weak_ink_support,traced_merged_cells,exhaustive,train,True
60,59,True,weak_ink_support,blank_plate,no_drawn_cells,val,False
63,138,True,weak_ink_support,loose_placement,partial,train,False
65,193,True,weak_ink_support,loose_placement,partial,train,False
67,-1,False,off_plate,off_plate,no_block,excluded_off_plate,False
68,17,True,weak_ink_support,loose_placement,sparse,train,False
69,172,True,weak_ink_support,loose_placement,partial,train,False
72,148,True,weak_ink_support,loose_placement,partial,train,False
