id,on_plate,best_cell_iou,union_cell_iou,cells_spanned,blank_plate,best_cell,in_fire_zone,area_ground_m2,cell_class
1,True,0.18172111983996017,0.18172111983996017,1.0,False,7768.0,True,178.5352222570099,loose_placement
2,True,0.025241985877925983,0.15745031357367573,19.0,False,7137.0,False,8326.463364316232,loose_placement
3,True,0.0,0.0,0.0,False,,False,602.4957076677058,loose_placement
4,True,0.0,0.0,0.0,False,,False,822.0172224511293,loose_placement
5,True,0.0,0.0,0.0,False,,False,618.141777295722,loose_placement
6,True,0.0,0.0,0.0,False,,False,343.98153030263063,loose_placement
7,True,0.0,0.0,0.0,False,,False,241.53691545500004,loose_placement
8,True,0.0,0.0,0.0,False,,False,518.5119094235707,loose_placement
9,True,0.0,0.0,0.0,False,,False,476.0965716546632,loose_placement
10,True,0.12768139926443733,0.4346243466213084,9.0,False,4625.0,True,1972.1692550011032,loose_placement
11,True,0.0,0.0,0.0,False,,False,465.0384116013666,loose_placement
12,True,0.01342907468120043,0.0,0.0,False,1490.0,False,970.4172276785375,loose_placement
13,True,0.0,0.0,0.0,False,,False,265.8977207043136,loose_placement
14,True,0.06589149576664649,0.0,0.0,False,4440.0,False,339.1019005373998,loose_placement
15,True,0.1493055434183887,0.20463792967400593,2.0,False,2816.0,False,451.54640321092984,loose_placement
16,True,0.10461145656635056,0.0,0.0,False,4628.0,False,385.11821992383415,loose_placement
17,True,0.06428934058903282,0.0,0.0,False,1124.0,False,333.48360837638256,loose_placement
18,True,0.3716357062676101,0.3710839408594859,2.0,False,4946.0,True,271.5176850699228,loose_placement
19,True,0.0,0.0,0.0,False,,False,243.8602867349098,loose_placement
20,True,0.2990410751843202,0.3552255559916224,2.0,False,4740.0,False,220.67396593414867,loose_placement
21,True,0.0,0.0,0.0,False,,False,175.77436773433217,loose_placement
22,True,0.37771256335774744,0.4325878135645958,2.0,False,3263.0,False,275.62135084992667,loose_placement
23,True,0.0,0.0,0.0,False,,False,258.58779635672045,loose_placement
24,True,0.0,0.0,0.0,False,,False,339.9532575553563,loose_placement
25,True,0.16399503414031183,0.16399503414031183,1.0,False,3582.0,False,275.9821420741122,loose_placement
26,True,0.0,0.0,0.0,True,,False,490.04163681012636,blank_plate
27,True,0.04282055309293652,0.0,0.0,False,3367.0,False,181.7645613180908,loose_placement
28,True,0.0,0.0,0.0,False,,False,187.59769743822162,loose_placement
29,True,0.0,0.0,0.0,False,,False,264.5941750535126,loose_placement
30,True,0.0,0.0,0.0,False,,False,228.81006329080674,loose_placement
31,True,0.0,0.0,0.0,False,,False,630.0992674886121,loose_placement
32,True,0.0,0.0,0.0,False,,False,135.74664262923872,loose_placement
33,True,0.0,0.0,0.0,False,,False,569.7779748052585,loose_placement
34,True,0.0,0.0,0.0,False,,False,524.9333840728298,loose_placement
35,True,0.016628256753729993,0.0,0.0,False,5143.0,False,446.50699511929815,loose_placement
36,True,0.0,0.0,0.0,False,,False,215.57749661748576,loose_placement
37,True,0.10317942622124547,0.10317942622124547,1.0,False,3964.0,True,233.8007053539679,loose_placement
38,True,0.0,0.0,0.0,False,,False,131.8209237528195,loose_placement
39,True,0.0,0.0,0.0,False,,False,467.34588305221,loose_placement
40,True,0.0,0.0,0.0,False,,False,281.3140607303107,loose_placement
41,True,0.0,0.0,0.0,False,,False,129.80345796770325,loose_placement
42,True,0.02254091698373126,0.0,0.0,False,366.0,False,52.56424999190722,loose_placement
43,True,0.0,0.0,0.0,False,,False,157.1116310056033,loose_placement
44,True,0.0,0.0,0.0,False,,False,77.52850580315082,loose_placement
45,True,0.5845674843372013,0.5698832787715464,2.0,False,5202.0,False,259.0564454703111,traced_single_cell
46,True,0.7139387216869919,0.7139387216869919,1.0,False,1350.0,False,168.95855003029604,traced_single_cell
47,True,0.4571933222297792,0.6130205726057925,2.0,False,1291.0,False,159.1682091491963,traced_merged_cells
48,True,0.526766684010652,0.526766684010652,1.0,False,1132.0,False,166.4798738149159,traced_single_cell
49,True,0.8288827689509137,0.8288827689509137,1.0,False,1034.0,False,84.99706643648196,traced_single_cell
50,True,0.1551696627674405,0.1551696627674405,1.0,False,3232.0,False,69.56109814030123,loose_placement
51,True,0.09342053069645487,0.0,0.0,False,3882.0,False,157.8123622184794,loose_placement
52,True,0.1307311872423371,0.42231697063309165,7.0,False,6584.0,False,772.3311691061665,loose_placement
53,True,0.0,0.0,0.0,False,,False,906.234197641819,loose_placement
54,True,0.0,0.0,0.0,False,,False,1122.545477205463,loose_placement
59,True,0.257479597225929,0.5107965681691279,11.0,False,7336.0,False,1408.870081566244,traced_merged_cells
60,True,0.0,0.0,0.0,True,,False,905.5549268535101,blank_plate
63,True,0.009644906635553585,0.019095647482337795,2.0,False,850.0,False,15933.205952754246,loose_placement
65,True,0.2923945360852178,0.3868780522799836,3.0,False,5321.0,False,686.7111230602004,loose_placement
67,False,,,,,,,,off_plate
68,True,0.14693639875487272,0.2639025677587241,10.0,False,4229.0,False,1860.4055357508926,loose_placement
69,True,0.07239750975138416,0.10691798470933221,2.0,False,3752.0,False,714.1905579101575,loose_placement
72,True,0.07145148949444341,0.10140783414511068,3.0,False,6316.0,False,2253.368480859972,loose_placement
