id,name,on_plate,inside_ink_frac,ring_ink_frac,contrast,ink_centroid_offset_ground_m,area_ground_m2,blob_class
1,Fire commenced,True,0.8198707592891761,0.48303324099722994,0.33683751829194614,0.350539152438897,178.5352222570099,on_solid_blob
2,Fort George,True,0.32476164627209575,0.12348189572388861,0.20127975054820713,1.259225857665063,8326.463364316232,partial_blob
3,Lower Barracks,True,0.8471978285166853,0.1278227524499361,0.7193750760667492,2.6049405012768907,602.4957076677058,on_solid_blob
4,Upper Barracks,True,0.7428922428922429,0.33712286838653255,0.4057693745057103,5.107263498518785,822.0172224511293,on_solid_blob
5,City Hall,True,0.7267563992842138,0.0927950658816933,0.6339613334025205,1.030671943390845,618.141777295722,on_solid_blob
6,Royal Exchange,True,0.8925227113906359,0.13273453093812376,0.7597881804525122,0.8841884027876921,343.98153030263063,on_solid_blob
7,Poor House (Alms house),True,0.6366169154228856,0.4825315005727377,0.15408541485014787,1.6002036663847619,241.53691545500004,partial_blob
8,Debtor's Prison,True,0.7754799220996013,0.132213608957795,0.6432663131418063,1.7365887145713625,518.5119094235707,on_solid_blob
9,Bridewell Prison,True,0.7355021216407355,0.3095808383233533,0.42592128331738216,2.299676099586666,476.0965716546632,on_solid_blob
10,Trinity Church,True,0.4998293348937,0.3798088703749081,0.12002046451879189,2.6813889175853323,1972.1692550011032,partial_blob
11,St George's Church,True,0.5020673971469919,0.24803400637619555,0.25403339077079634,6.4576811726469945,465.0384116013666,on_solid_blob
12,St Paul Chapel,True,0.3572985828956496,0.1814327485380117,0.1758658343576379,6.086684378649898,970.4172276785375,partial_blob
13,Garden Street Church,True,0.43747741235995663,0.37350102369113775,0.06397638866881888,3.5506665257682886,265.8977207043136,partial_blob
14,Middle Dutch Church,True,0.9414350538854226,0.39071318624935863,0.5507218676360639,0.8092591677642123,339.1019005373998,on_solid_blob
15,North Dutch Church,True,0.7488817891373802,0.49666221628838453,0.2522195728489957,2.266145763762824,451.54640321092984,on_solid_blob
16,Wall Street Church,True,0.6257959795230366,0.4053857350800582,0.22041024444297835,2.884546254730119,385.11821992383415,partial_blob
17,Brick Church,True,0.2622170967276921,0.44284593251373267,-0.18062883578604055,0.594460146873292,333.48360837638256,not_on_blob
18,Old Lutherean Church,True,0.7421183138505136,0.5986198964922369,0.14349841735827673,1.4389947068584485,271.5176850699228,partial_blob
19,New Lutherean Church,True,0.5757874015748031,0.4281828073993471,0.14760459417545602,2.571459997970511,243.8602867349098,partial_blob
20,French Church,True,0.43177366702937975,0.41610951926138173,0.015664147767998016,2.8654849023282547,220.67396593414867,partial_blob
21,German Reformed Church,True,0.9324398249452954,0.1882960413080895,0.7441437836372059,1.1260100945780993,175.77436773433217,on_solid_blob
22,Moravian Church,True,0.550557880055788,0.5456627540795878,0.004895125976200232,1.7656098748328404,275.62135084992667,partial_blob
23,Presbyterian Church,True,0.3277560884922848,0.540348802837718,-0.2125927143454332,3.645383290198741,258.58779635672045,partial_blob
24,Babtist Church,True,0.5696506859001556,0.32448607858443923,0.24516460731571632,3.111469870965797,339.9532575553563,partial_blob
25,Methodist Church,True,0.2933077727431161,0.19899385131358302,0.09431392142953307,0.8696431797834645,275.9821420741122,not_on_blob
26,Friends Meeting,True,0.0,0.000984251968503937,-0.000984251968503937,,490.04163681012636,not_on_blob
27,Friends Meeting,True,0.7525145579671784,0.29109811565951915,0.4614164423076592,2.6790752574913634,181.7645613180908,on_solid_blob
28,Mill Street Synagoge,True,0.4848719937936385,0.3565521628498728,0.1283198309437657,3.9266741492383677,187.59769743822162,partial_blob
29,Theatre,True,0.5578564940962761,0.4557291666666667,0.10212732742960945,4.076925000963,264.5941750535126,partial_blob
30,Old Slip Market,True,0.9468599033816425,0.46780162842339007,0.47905827495825243,0.40286845914199526,228.81006329080674,on_solid_blob
31,Fly Market,True,0.7850217573860601,0.2088438998401705,0.5761778575458896,1.3318142329837566,630.0992674886121,on_solid_blob
32,Peck Slip Market,True,0.34719260838663824,0.6687808315715292,-0.321588223184891,0.7877699827069483,135.74664262923872,partial_blob
33,Osego Market,True,0.7695813639432816,0.0832016850974197,0.6863796788458619,1.3568776986687323,569.7779748052585,on_solid_blob
34,Bear Market,True,0.7625457875457875,0.16942333482342423,0.5931224527223633,0.36378373923538154,524.9333840728298,on_solid_blob
35,Bayards Sugar House,True,0.6106204222317967,0.656129178985672,-0.045508756753875335,4.263816447878773,446.50699511929815,partial_blob
36,Seaman's Sugar House,True,0.8596295469761214,0.2888178913738019,0.5708116556023195,0.547008468727892,215.57749661748576,on_solid_blob
37,Courtlandt's Sugar House,True,0.4934210526315789,0.47208436724565755,0.021336685385921372,2.5987108993014356,233.8007053539679,partial_blob
38,Rhinelander Sugar House,True,0.2506384531192995,0.5158856235107228,-0.26524717039142326,2.438113639480492,131.8209237528195,not_on_blob
39,Roosevelt's Sugar House,True,0.033124164180639855,0.2565290648694187,-0.22340490068877883,8.552376011503776,467.34588305221,not_on_blob
40,Rutger's Brewery,True,0.442202462380301,0.535114293583035,-0.092911831202734,1.3960665976356947,281.3140607303107,partial_blob
41,Edens Brewery,True,0.6743153219837158,0.25396211828372633,0.42035320369998946,2.3727328613571044,129.80345796770325,on_solid_blob
42,Fire Ended,True,0.554945054945055,0.5296343001261034,0.02531075481895162,0.923728707489997,52.56424999190722,partial_blob
43,Statue George III,True,0.7691365584813227,0.13761467889908258,0.6315218795822402,1.3359098455658063,157.1116310056033,on_solid_blob
44,Kennedy's House,True,0.21650124069478907,0.2733882695104217,-0.05688702881563265,4.720787768957908,77.52850580315082,not_on_blob
45,Verplanck House,True,0.610204081632653,0.32489208633093525,0.2853119953017178,0.472762884455186,259.0564454703111,on_solid_blob
46,Rutherford's House,True,0.569883290634785,0.3089228581585496,0.26096043247623546,1.2229279015499426,168.95855003029604,on_solid_blob
47,Axtel House,True,0.5451798126322152,0.24125364431486881,0.3039261683173463,0.8531379888441297,159.1682091491963,on_solid_blob
48,Rufu's King's House,True,0.5226813059809303,0.09741193386053199,0.42526937212039834,0.849933567369742,166.4798738149159,on_solid_blob
49,Richard Harrison's House,True,0.6670441676104191,0.3012275731822474,0.36581659442817166,0.10882108477637455,84.99706643648196,on_solid_blob
50,Walter Franklin's House,True,0.6189488243430152,0.42403746097814776,0.19491136336486747,0.6557014494883014,69.56109814030123,partial_blob
51,Walton House,True,0.6229058787694182,0.509941089837997,0.11296478893142115,2.0236165416428,157.8123622184794,partial_blob
52,Hanover Square,True,0.4532221945757651,0.3327290475526426,0.12049314702312253,0.7799391383897576,772.3311691061665,partial_blob
53,King's College,True,0.6871351236599087,0.4375567371287771,0.24957838653113162,3.801897078627492,906.234197641819,partial_blob
54,Fish Market,True,0.08602749111463195,0.172081352350766,-0.08605386123613404,22.161630020222713,1122.545477205463,not_on_blob
