ogc_fid,rulefile,n,median_offset_px,median_abs_offset_px,median_width_px,median_abs_offset_m,median_width_m
1,roads.cga,12,-8.25,8.25,50.5,1.809179127159173,11.074369202610695
2,roads.cga,19,5.0,5.0,51.0,1.0964721982782868,11.184016422438525
3,roads.cga,2,0.0,0.0,2.0,0.0,0.4385888793113147
4,roads.cga,0,,,,,
5,roads.cga,0,,,,,
6,roads.cga,0,,,,,
7,roads.cga,16,8.5,8.5,50.0,1.8640027370730874,10.964721982782867
8,roads.cga,17,0.0,0.0,2.0,0.0,0.4385888793113147
9,roads.cga,18,5.0,5.0,22.0,1.0964721982782868,4.824477672424462
10,roads.cga,26,0.0,0.0,2.0,0.0,0.4385888793113147
11,roads.cga,21,0.0,0.0,2.0,0.0,0.4385888793113147
12,roads.cga,13,1.0,1.0,12.0,0.21929443965565734,2.631533275867888
13,roads.cga,0,,,,,
14,roads.cga,6,0.0,0.0,2.0,0.0,0.4385888793113147
15,roads.cga,12,-3.5,3.5,55.0,0.7675305387948007,12.061194181061154
16,roads.cga,3,-9.0,9.0,64.0,1.973649956900916,14.03484413796207
17,piers.cga,0,,,,,
18,roads.cga,21,-2.5,2.5,45.0,0.5482360991391434,9.868249784504581
19,roads.cga,0,,,,,
20,roads.cga,8,-14.25,14.25,34.5,3.124945765093117,7.565658168120179
21,roads.cga,17,0.0,0.0,2.0,0.0,0.4385888793113147
22,roads.cga,25,0.0,1.5,11.0,0.328941659483486,2.412238836212231
23,roads.cga,0,,,,,
24,roads.cga,6,0.0,0.0,2.0,0.0,0.4385888793113147
25,piers.cga,20,0.0,1.75,7.5,0.38376526939740035,1.64470829741743
26,roads.cga,0,,,,,
27,piers.cga,0,,,,,
28,roads.cga,0,,,,,
29,roads.cga,13,-3.0,3.0,45.0,0.657883318966972,9.868249784504581
30,roads.cga,22,12.0,12.0,46.0,2.631533275867888,10.087544224160238
31,piers.cga,8,0.0,2.5,10.0,0.5482360991391434,2.1929443965565736
32,roads.cga,0,,,,,
33,roads.cga,3,0.0,0.0,2.0,0.0,0.4385888793113147
34,roads.cga,19,0.0,0.0,2.0,0.0,0.4385888793113147
35,roads.cga,11,0.0,0.0,2.0,0.0,0.4385888793113147
36,roads.cga,0,,,,,
37,roads.cga,15,2.0,2.0,53.0,0.4385888793113147,11.62260530174984
38,roads.cga,0,,,,,
39,roads.cga,15,-13.5,13.5,30.0,2.960474935351374,6.57883318966972
40,roads.cga,14,6.5,7.0,50.0,1.5350610775896014,10.964721982782867
41,roads.cga,12,0.0,0.0,2.0,0.0,0.4385888793113147
42,roads.cga,3,0.0,0.0,2.0,0.0,0.4385888793113147
43,roads.cga,11,0.0,1.5,5.0,0.328941659483486,1.0964721982782868
44,roads.cga,0,,,,,
45,roads.cga,15,-3.5,4.0,41.0,0.8771777586226294,8.991072025881952
46,piers.cga,34,0.0,0.0,2.0,0.0,0.4385888793113147
47,roads.cga,0,,,,,
48,piers.cga,0,,,,,
49,roads.cga,24,0.0,0.0,2.0,0.0,0.4385888793113147
50,roads.cga,10,-14.0,14.0,52.0,3.070122155179203,11.403310862094182
51,piers.cga,5,0.0,0.0,2.0,0.0,0.4385888793113147
52,roads.cga,2,-0.25,0.25,2.5,0.054823609913914335,0.5482360991391434
53,roads.cga,11,0.0,0.0,2.0,0.0,0.4385888793113147
54,piers.cga,22,1.75,1.75,10.0,0.38376526939740035,2.1929443965565736
55,roads.cga,6,16.5,16.5,48.0,3.618358254318346,10.526133103471553
56,roads.cga,10,18.5,18.5,45.0,4.056947133629661,9.868249784504581
57,roads.cga,22,-4.0,4.0,12.0,0.8771777586226294,2.631533275867888
58,roads.cga,20,-1.25,2.5,28.0,0.5482360991391434,6.140244310358406
59,roads.cga,0,,,,,
60,roads.cga,17,4.0,4.0,57.0,0.8771777586226294,12.499783060372469
61,piers.cga,0,,,,,
62,roads.cga,11,0.0,2.0,6.0,0.4385888793113147,1.315766637933944
63,roads.cga,0,,,,,
64,roads.cga,0,,,,,
65,piers.cga,10,0.75,1.75,23.0,0.38376526939740035,5.043772112080119
66,roads.cga,0,,,,,
67,roads.cga,17,-9.0,9.0,44.0,1.973649956900916,9.648955344848924
68,roads.cga,1,-21.5,21.5,45.0,4.714830452596633,9.868249784504581
69,roads.cga,12,6.75,6.75,22.0,1.480237467675687,4.824477672424462
70,roads.cga,0,,,,,
71,roads.cga,22,0.0,5.25,24.0,1.1512958081922011,5.263066551735776
72,roads.cga,22,-8.5,8.5,51.0,1.8640027370730874,11.184016422438525
73,roads.cga,0,,,,,
74,piers.cga,5,0.0,1.5,8.0,0.328941659483486,1.7543555172452587
75,roads.cga,0,,,,,
76,roads.cga,0,,,,,
77,roads.cga,3,0.0,0.0,2.0,0.0,0.4385888793113147
78,roads.cga,0,,,,,
79,roads.cga,0,,,,,
80,roads.cga,27,15.5,15.5,53.0,3.399063814662689,11.62260530174984
